[L] 200- .--------------------------------------------------------------------=-.
[L] 200- | ## User         Location/Tagline         Files  Megabytes   Avg k/s   |
[L] 200- |-=-------------------------------------------------------------------=-|
[L] 200- [01] Zeitlos      No Tagline Set          56,429 1,815,02MB    244K/s
[L] 200- [02] Claudy       No Tagline Set          30,333 1,181,93MB   3742K/s
[L] 200- [03] silk         No Tagline Set          29,497  624,499MB    354K/s
[L] 200- [04] djjaysx      and the winner is ...   29,888  601,630MB    213K/s
[L] 200- [05] main         No Tagline Set          25,551  569,768MB    302K/s
[L] 200- [06] ChrisTheBond No Tagline Set          27,260  505,828MB    215K/s
[L] 200- [07] Zyntherius   No Tagline Set          19,677  486,630MB    491K/s
[L] 200- [08] schnuffel    piu piu                 40,405  475,895MB    338K/s
[L] 200- [09] Korki        go away                 22,609  468,058MB    284K/s
[L] 200- [10] syndrom      No Tagline Set          13,427  347,329MB    294K/s
[L] 200- [11] mypalGOO     No Tagline Set          35,119  344,712MB    249K/s
[L] 200- [12] shizzle      No Tagline Set          32,807  336,796MB    330K/s
[L] 200- [13] ezcape       No Tagline Set          25,257  328,266MB    180K/s
[L] 200- [14] drG0nz0      No Tagline Set          21,039  316,649MB    249K/s
[L] 200- [15] igor         No Tagline Set          14,345  303,252MB    301K/s
[L] 200- [16] X0NiC        No Tagline Set          32,610  300,792MB    206K/s
[L] 200- [17] ogrnb        No Tagline Set          37,697  291,608MB     85K/s
[L] 200- [18] Luzifer      Elvis has left the pla  13,136  280,454MB    528K/s
[L] 200- [19] mufel        No Tagline Set          10,819  272,629MB    495K/s
[L] 200- [20] Mario        bACK tO tHE rOOTS ...   13,053  258,109MB    484K/s
[L] 200- [21] HaYaBuZa     No Tagline Set          15,250  257,149MB    348K/s
[L] 200- [22] blubor       GDC-RuLeZ               27,599  254,926MB    970K/s
[L] 200- [23] 187          No Tagline Set          50,635  248,770MB     62K/s
[L] 200- [24] fuselito     No Tagline Set           9,814  245,795MB    582K/s
[L] 200- [25] TcO          No Tagline Set          21,408  244,941MB    645K/s
[L] 200- [26] rexus        No Tagline Set          12,701  242,106MB     90K/s
[L] 200- [27] BiZaR        No Tagline Set          22,783  240,159MB    714K/s
[L] 200- [28] TForce       BiTCHCLUB               21,088  234,855MB    297K/s
[L] 200- [29] ProlyX       No Tagline Set          15,817  228,095MB    199K/s
[L] 200- [30] mrsoul       No Tagline Set          18,394  209,019MB    172K/s
[L] 200- [31] djmns        No Tagline Set          23,519  206,162MB    350K/s
[L] 200- [32] pwder        bleh                    13,163  200,805MB    402K/s
[L] 200- [33] Endi         No Tagline Set           8,252  197,476MB   1086K/s
[L] 200- [34] robotz       No Tagline Set           5,912  195,896MB    325K/s
[L] 200- [35] phantomdx    MILF-Hunter              9,038  187,533MB    575K/s
[L] 200- [36] ownage       No Tagline Set          20,030  183,123MB   1925K/s
[L] 200- [37] nick         honeymoon with my shel  13,893  182,599MB    257K/s
[L] 200- [38] Liquid       No Tagline Set          13,163  182,580MB    815K/s
[L] 200- [39] nashgul      No Tagline Set           8,115  181,204MB    223K/s
[L] 200- [40] DoNtI        H4RiB0-0WnZ             14,334  179,567MB    656K/s
[L] 200- [41] samael       2 Fast 4 U              16,181  171,964MB    337K/s
[L] 200- [42] dargon       ICDMP3                  10,995  171,937MB    614K/s
[L] 200- [43] nicodemo     No Tagline Set          20,583  170,243MB    498K/s
[L] 200- [44] banzaii      No Tagline Set           7,981  168,211MB    870K/s
[L] 200- [45] giga         WTF                     25,436  153,546MB    529K/s
[L] 200- [46] Stets        No Tagline Set          17,890  153,082MB    362K/s
[L] 200- [47] sQUEEz       its all about the game  11,107  145,430MB    148K/s
[L] 200- [48] delarius     No Tagline Set           9,350  144,062MB    115K/s
[L] 200- [49] RnBstyles    OSCBABY                 10,615  143,703MB     96K/s
[L] 200- [50] kaitracid    No Tagline Set           6,962  140,537MB    331K/s
[L] 200- [51] pit_1        No Tagline Set          14,111  118,367MB    130K/s
[L] 200- [52] YOungmann    No Tagline Set           5,985  117,371MB     89K/s
[L] 200- [53] EmT3C        No Tagline Set           9,305  112,947MB    439K/s
[L] 200- [54] Juvenile     SEHR DiCKE HODEN         6,075  112,913MB    197K/s
[L] 200- [55] MasterS      No Tagline Set          17,989  111,064MB    718K/s
[L] 200- [56] extazyz      No Tagline Set           2,877  110,295MB    101K/s
[L] 200- [57] arkusP       pussylecker              8,246  110,071MB    396K/s
[L] 200- [58] CDi          No Tagline Set          12,718  107,447MB    330K/s
[L] 200- [59] skylink      No Tagline Set           4,272  104,262MB   1886K/s
[L] 200- [60] PiNCH        gone.busy.till.may05    12,818  100,861MB    516K/s
[L] 200- [61] prozak       No Tagline Set          10,748  100,672MB    480K/s
[L] 200- [62] jaws         mkdir not war           12,843   99,692MB    992K/s
[L] 200- [63] juicy        No Tagline Set          10,741   95,725MB    204K/s
[L] 200- [64] jannis       No Tagline Set          13,618   95,395MB    407K/s
