[1] 200-            ____            _____              __          ______
[1] 200-         ___|   \   _____   |   |    _____   _(__)____  ___|   _/_
[1] 200- ........ |  `    \__|   |   |   |____|   |__ |    `   \/   `    _/_ ..........
[1] 200- :::::::: |   :      .   |___:   `   ._   __/_|        \/   .___.   \ :::::::::
[1] 200- ........ |___|\____/|   `   _______/ |       .____:   ||   |   |____\ ........
[1] 200-                    |______/         |______/     |___||___|         
[1] 200- +----+--------------+---------------+---------+------------------+-----------+
[1] 200- | No |     User     |     Group     |  Files  |       Megs       |   Speed   |
[1] 200- +----+--------------+---------------+---------+------------------+-----------+
[1] 200- | 01 | prinsick     | MYTH          |   5,126 |         95,686MB |   4027k/s |
[1] 200- | 02 | staryang     | CaC           |   4,019 |         90,101MB |    483k/s |
[1] 200- | 03 | lantz        | iLH           |   5,050 |         87,460MB |    255k/s |
[1] 200- | 04 | mores        | iND           |   3,934 |         85,325MB |   1439k/s |
[1] 200- | 05 | kanami       | iND           |   4,371 |         80,209MB |    393k/s |
[1] 200- | 06 | NOWT         | ArEs          |   4,947 |         79,148MB |    537k/s |
[1] 200- | 07 | kazeboy      | EPTiSO        |   4,302 |         78,564MB |    569k/s |
[1] 200- | 08 | lazyaka      | CaC           |   3,627 |         70,991MB |   1042k/s |
[1] 200- | 09 | svwf         | iND           |   3,698 |         69,687MB |   1147k/s |
[1] 200- | 10 | Anger        | ArEs          |   4,172 |         69,533MB |   1334k/s |
[1] 200- | 11 | ToYa         | GHOST         |   3,628 |         66,204MB |    451k/s |
[1] 200- | 12 | syz          | NVT           |   3,237 |         63,644MB |    428k/s |
[1] 200- | 13 | dinho        | GHOST         |   2,913 |         63,125MB |    265k/s |
[1] 200- | 14 | _XoX_sz      | TeamX         |   2,715 |         62,443MB |    396k/s |
[1] 200- | 15 | sav          | OTKiSO        |   3,573 |         58,404MB |    847k/s |
[1] 200- | 16 | guy          | DSr           |   3,614 |         57,198MB |   1775k/s |
[1] 200- | 17 | shg          | AcTiSO        |   3,850 |         56,946MB |   1884k/s |
[1] 200- | 18 | devin        | OTKiSO        |   3,366 |         56,316MB |    677k/s |
[1] 200- | 19 | bobos        | iLH           |   3,056 |         54,546MB |   1352k/s |
[1] 200- | 20 | GDmen        | NVT           |   2,367 |         54,182MB |   1037k/s |
[1] 200- | 21 | clandrea     | ArEs          |   2,547 |         53,353MB |   1524k/s |
[1] 200- | 22 | durian       | TiANiSO       |   2,876 |         51,093MB |    367k/s |
[1] 200- | 23 | AnthOnysh    | AcTiSO        |   2,306 |         49,918MB |   1234k/s |
[1] 200- | 24 | tulazhu      | CaC           |   2,259 |         47,845MB |   1101k/s |
[1] 200- | 25 | ooo          | NVT           |   2,989 |         47,597MB |   1398k/s |
[1] 200- | 26 | finn         | ArEs          |   2,410 |         47,132MB |   1278k/s |
[1] 200- | 27 | esprite      | TiANiSO       |   2,609 |         46,799MB |    957k/s |
[1] 200- | 28 | xx           | RFF           |   2,305 |         46,656MB |    308k/s |
[1] 200- | 29 | deathboy     | NVT           |   2,993 |         43,551MB |    501k/s |
[1] 200- | 30 | fronk        | EPTiSO        |   2,851 |         43,026MB |    249k/s |
[1] 200- | 31 | ujin         | cATiSO        |   2,173 |         42,102MB |    134k/s |
[1] 200- | 32 | feitan       | REMiND        |   2,018 |         41,734MB |   1166k/s |
[1] 200- | 33 | derek        | DSr           |   2,474 |         41,611MB |     77k/s |
[1] 200- | 34 | anthrax      | cATiSO        |   2,302 |         41,545MB |   1132k/s |
[1] 200- | 35 | jarjar       | TOWiSO        |   2,094 |         41,155MB |   1957k/s |
[1] 200- | 36 | ash          | AcTiSO        |   1,968 |         38,838MB |    317k/s |
[1] 200- | 37 | Avril        | GHOST         |   1,941 |         38,198MB |    944k/s |
